Category,StudentID,StudentFirstName,StudentMiddleName,StudentLastName,BIRTHDATE,SchoolName
Add,794244533,Diane,Joan,Wells,08/17/1999,abc
Drop,540478251,Craig,Martha,Bennett,08/20/2001,def
Add,162002153,Denise,Diane,Elliott,04/27/2001,def
Drop,150072041,Andrew,Ann,George,12/28/2000,abc
Add,944215835,Emily,Julie,Freeman,10/22/1999,def
Drop,029552180,Sarah,Ralph,Burton,07/27/1999,def
Drop,875337410,Ruby,Philip,Sims,10/27/1999,def
Drop,970166536,Ernest,Alan,Matthews,11/21/2000,abc
Drop,219608433,Timothy,Howard,Lane,09/21/2000,abc
Add,879412696,Amanda,Shirley,Harrison,02/08/1999,abc
Drop,727512665,Daniel,Sharon,Ramirez,02/22/1999,def
Add,818879804,Walter,Douglas,Mendoza,07/25/2002,abc
Add,281489457,Walter,Christina,Harvey,12/07/2000,abc
Add,742184423,Jonathan,Margaret,Little,11/21/2000,abc
Add,653263588,Judith,Donald,Schmidt,04/08/2002,def
Add,747633466,Louis,Lois,Young,11/24/2002,def
Drop,784986392,Bobby,Bonnie,Long,05/14/2002,def
Add,559761878,Edward,Ruth,Chavez,10/10/1999,def
Add,570779643,Jason,Alan,Boyd,03/10/2001,abc
Drop,305892724,Frank,Justin,Perry,11/30/2001,abc
Add,806622891,Irene,Larry,Bailey,05/13/2001,abc
Add,208346563,Todd,Albert,Richardson,04/30/1999,abc
Drop,237615554,Amy,Doris,Hicks,03/22/2001,abc
Drop,763251878,Clarence,Anthony,Wheeler,10/25/1999,abc
Add,545325534,Keith,Dennis,Reynolds,05/19/2000,abc
Drop,544186048,Evelyn,Chris,Edwards,12/19/2001,abc
Add,022402723,Joyce,Stephen,Brown,01/05/1999,abc
Drop,386344557,Tammy,John,Perez,02/28/2001,def
Add,936714553,Carol,Cheryl,Wheeler,05/28/2001,def
Add,817318142,Gerald,Theresa,Knight,01/20/2001,abc
Drop,152685259,Kathleen,Elizabeth,Romero,01/05/1999,abc
Add,185597602,Philip,Linda,Romero,02/06/2001,abc
Drop,289339535,Beverly,Carlos,Mason,10/24/1999,def
Add,856861162,Kelly,Stephen,Fisher,03/17/2002,def
Drop,256268813,Fred,Billy,Rice,09/30/2001,abc
Add,550765126,George,Larry,Bell,06/13/1999,abc
Add,584826629,Lori,Brenda,Harris,10/27/1999,abc
Drop,493642217,Steven,Justin,Turner,09/09/2002,abc
Drop,500227303,Ann,Theresa,Morales,05/22/2000,def
Drop,474330836,Richard,Joyce,Wilson,07/23/2002,def
Drop,985038618,Steven,Albert,Fuller,06/17/2000,def
Drop,043000666,James,Juan,Bryant,08/03/1999,abc
Drop,309303875,Debra,Ralph,White,12/07/2002,def
Add,986311102,Jerry,Joshua,Taylor,09/17/2001,def
Add,067832751,Beverly,Lois,Gonzalez,03/18/2000,abc
Drop,043470327,Julia,Eric,Evans,05/08/2000,abc
Drop,278920214,Roy,Todd,Ford,11/19/2002,abc
Drop,977791848,Cheryl,Marie,Murphy,12/03/2000,def
Add,047988954,Elizabeth,Wayne,Peterson,11/11/2001,def
Drop,966585401,Lawrence,Anthony,Howard,06/02/1999,def
Add,575666699,James,Donna,Snyder,10/27/2000,def
Add,051069698,Barbara,Barbara,Fisher,02/15/2000,abc
Drop,911517719,Stephen,Anthony,Owens,01/13/2001,abc
Drop,608979609,Robin,Cynthia,Garrett,07/28/2002,def
Add,982662222,Julia,Ann,Stone,09/23/2001,def
Add,670457491,Gary,Laura,Nelson,01/19/1999,def
Add,115112941,Charles,Randy,Garrett,09/09/2001,def
Add,310002469,Jane,Evelyn,Boyd,03/10/2001,def
Drop,012627782,Andrew,Carl,Snyder,05/16/1999,abc
Add,987668869,Frances,Terry,Burns,06/24/2002,abc
Drop,674992821,Jonathan,Aaron,Flores,12/19/2001,abc
Add,564627225,Marie,Terry,Ross,11/14/2002,abc
Drop,018670810,Larry,Shawn,Hawkins,02/20/2000,def
Add,978945632,Theresa,Edward,Armstrong,07/29/1999,def
Drop,326042159,Willie,Nancy,Spencer,05/05/1999,def
Drop,780502421,Doris,Louis,Burns,05/24/1999,def
Drop,088401101,Aaron,Gerald,Stephens,01/17/2000,def
Add,043320748,Billy,Robin,Barnes,05/21/2002,def
Add,091419193,Bonnie,Lawrence,Turner,11/20/2001,abc
Add,779869031,Stephanie,Lawrence,Fisher,12/12/2000,abc
Drop,133873795,Ryan,Gregory,Flores,09/08/2000,abc
Add,976340175,Roger,Melissa,Vasquez,06/24/2000,abc
Add,847183852,Ashley,Ryan,Stewart,02/20/2001,def
Drop,139324061,Catherine,Matthew,Lane,03/24/2000,abc
Drop,142825412,Jerry,Jack,Nichols,04/07/1999,def
Drop,522282804,Jean,Jack,Payne,11/04/2000,def
Drop,854274826,Fred,Jesse,Morrison,03/13/1999,def
Drop,764452748,Kimberly,Carl,Hayes,06/11/2002,abc
Drop,554544688,Jonathan,Arthur,Bennett,02/22/2000,def
Add,674553319,Carolyn,Andrea,Richards,08/28/2002,def
Add,352503197,Lillian,Sandra,Smith,03/12/1999,def
Add,281042130,Patrick,Cheryl,Dean,10/22/2000,abc
Drop,394992863,Henry,Joseph,Campbell,02/06/2000,abc
Add,562896330,Billy,Lisa,Gibson,11/08/2001,def
Drop,330099806,Wanda,Judith,Marshall,12/04/2000,def
Add,886048012,Julie,Rachel,Turner,02/11/2001,def
Drop,709290077,Jack,Bobby,Bell,04/29/2000,def
Add,417778419,Steve,Doris,Hayes,01/16/2002,abc
Drop,442300099,Norma,Kevin,Reid,06/22/2000,abc
Add,473665078,Sandra,Heather,Ellis,05/09/2002,def
Add,182955036,Paula,Amanda,Moreno,02/16/2000,abc
Add,830871425,Steve,Christine,Price,07/10/1999,def
Add,546957297,Stephanie,Heather,Sanchez,08/18/2000,abc
Add,783478618,Philip,Martin,Kim,07/23/2001,abc
Drop,832972782,Ann,David,Powell,04/16/2001,def
Add,982862966,Harold,Anna,Howard,04/10/2000,abc
Add,386231318,Nicholas,Nicholas,Ward,07/30/2001,def
Drop,077239647,Louise,Helen,Robinson,08/23/1999,abc
Drop,206468772,Paula,Raymond,Jones,08/06/2001,def
Add,209541761,Judith,Doris,Wheeler,08/23/1999,def
Add,114069170,Beverly,Russell,Bailey,09/11/2002,def
Add,293706821,Antonio,Annie,Phillips,02/07/2000,def
Add,784481224,Melissa,Jean,Moreno,07/22/2000,abc
Drop,742345609,David,Eugene,Owens,06/26/2000,abc
Drop,858376086,Peter,Kathleen,Jones,03/13/2002,def
Drop,532672143,Rose,John,Lawson,02/11/2002,abc
Drop,044605202,Aaron,Shirley,Taylor,09/24/2001,abc
Drop,735264675,Craig,Jack,Bishop,04/26/2000,abc
Add,762927968,Jesse,Rebecca,Lawrence,07/22/2002,def
Drop,261735939,Annie,Ernest,Spencer,12/18/1999,def
Drop,894936552,Patricia,Laura,Dunn,07/29/2002,def
Add,923355457,Chris,Ryan,Ramos,11/10/2000,def
Add,940456918,Phyllis,Carol,Gonzalez,01/22/2000,abc
Drop,518112234,Carolyn,Julia,Harris,10/11/1999,abc
Drop,890884369,Rebecca,Janice,Myers,08/07/1999,abc
Drop,608488284,Joan,Lois,Ross,09/20/2001,def
Add,697629613,Dennis,Sandra,Campbell,12/01/2002,def
Add,839895580,Annie,Cheryl,Morgan,12/22/1999,def
Drop,641072101,Virginia,Kimberly,Fuller,02/05/2002,abc
Add,568883965,Frank,Marie,Young,06/27/2001,abc
Add,660353064,Nicole,Amy,Wheeler,01/10/2000,abc
Drop,598320809,Melissa,Kathryn,Jackson,08/30/2001,def
Drop,659510197,Anne,Julie,Peters,11/28/2000,abc
Add,356886433,Lois,Adam,Montgomery,03/28/2000,def
Add,854448640,Victor,Willie,Robinson,02/10/1999,abc
Add,843250154,Karen,David,Powell,07/07/2000,abc
Drop,222552676,Joshua,Betty,Duncan,04/06/2000,abc
Add,809214281,Evelyn,Beverly,Stephens,04/17/2000,def
Drop,836987820,Justin,Larry,Simmons,04/13/2002,abc
Drop,841389658,Amanda,Denise,Sanchez,04/21/2002,abc
Drop,456339498,Martin,Nancy,Fernandez,08/27/1999,abc
