Category,StudentID,StudentFirstName,StudentMiddleName,StudentLastName,BIRTHDATE,SchoolName
Add,794244533,Diane,Joan,Wells,08/17/1999,def
Add,540478251,Craig,Martha,Bennett,08/20/2001,abc
Add,162002153,Denise,Diane,Elliott,04/27/2001,abc
Add,150072041,Andrew,Ann,George,12/28/2000,def
Add,944215835,Emily,Julie,Freeman,10/22/1999,abc
Add,029552180,Sarah,Ralph,Burton,07/27/1999,abc
Add,875337410,Ruby,Philip,Sims,10/27/1999,abc
Add,970166536,Ernest,Alan,Matthews,11/21/2000,def
Add,219608433,Timothy,Howard,Lane,09/21/2000,def
Add,879412696,Amanda,Shirley,Harrison,02/08/1999,def
Add,727512665,Daniel,Sharon,Ramirez,02/22/1999,abc
Add,818879804,Walter,Douglas,Mendoza,07/25/2002,def
Add,281489457,Walter,Christina,Harvey,12/07/2000,def
Add,742184423,Jonathan,Margaret,Little,11/21/2000,def
Add,653263588,Judith,Donald,Schmidt,04/08/2002,abc
Add,747633466,Louis,Lois,Young,11/24/2002,abc
Add,784986392,Bobby,Bonnie,Long,05/14/2002,abc
Add,559761878,Edward,Ruth,Chavez,10/10/1999,abc
Add,570779643,Jason,Alan,Boyd,03/10/2001,def
Add,305892724,Frank,Justin,Perry,11/30/2001,def
Add,806622891,Irene,Larry,Bailey,05/13/2001,def
Add,208346563,Todd,Albert,Richardson,04/30/1999,def
Add,237615554,Amy,Doris,Hicks,03/22/2001,def
Add,763251878,Clarence,Anthony,Wheeler,10/25/1999,def
Add,545325534,Keith,Dennis,Reynolds,05/19/2000,def
Add,544186048,Evelyn,Chris,Edwards,12/19/2001,def
Add,022402723,Joyce,Stephen,Brown,01/05/1999,def
Add,386344557,Tammy,John,Perez,02/28/2001,abc
Add,936714553,Carol,Cheryl,Wheeler,05/28/2001,abc
Add,817318142,Gerald,Theresa,Knight,01/20/2001,def
Add,152685259,Kathleen,Elizabeth,Romero,01/05/1999,def
Add,185597602,Philip,Linda,Romero,02/06/2001,def
Add,289339535,Beverly,Carlos,Mason,10/24/1999,abc
Add,856861162,Kelly,Stephen,Fisher,03/17/2002,abc
Add,256268813,Fred,Billy,Rice,09/30/2001,def
Add,550765126,George,Larry,Bell,06/13/1999,def
Add,584826629,Lori,Brenda,Harris,10/27/1999,def
Add,493642217,Steven,Justin,Turner,09/09/2002,def
Add,500227303,Ann,Theresa,Morales,05/22/2000,abc
Add,474330836,Richard,Joyce,Wilson,07/23/2002,abc
Add,985038618,Steven,Albert,Fuller,06/17/2000,abc
Add,043000666,James,Juan,Bryant,08/03/1999,def
Add,309303875,Debra,Ralph,White,12/07/2002,abc
